id|origin_language
961|['American']
962|['American']
963|['American']
964|['American']
965|['American']
966|['American']
967|['American']
968|['American']
969|['American']
970|['American']
971|['American']
972|['American']
973|['American']
974|['American']
975|['American']
976|['American']
977|['American']
978|['American']
979|['American']
980|['American']
981|['American']
982|['American']
983|['American']
984|['American']
985|['American']
986|['American']
987|['American']
988|['American']
989|['American']
990|['American']
991|['American']
992|['American']
993|['American']
994|['American']
995|['American']
996|['American']
997|['American']
998|['American']
999|['American']
1000|['American']
1001|['American']
1002|['American']
1003|['American']
1004|['American']
1005|['American']
1006|['American']
1007|['American']
1008|['American']
1009|['American']
1010|['American']
1011|['American']
1012|['American']
1013|['American']
1014|['American']
1015|['American']
1016|['American']
1017|['American']
1018|['American']
1019|['American']
1020|['American']
1021|['American']
1022|['American']
1023|['American']
1024|['American']
1025|['American']
1026|['American']
1027|['American']
1028|['American']
1029|['American']
1030|['American']
1031|['American']
1032|['American']
1033|['American']
1034|['American']
1035|['American']
1036|['American']
1037|['American']
1038|['American']
1039|['American']
1040|['American']
1041|['American']
1042|['American']
1043|['American']
1044|['American']
1045|['American']
1046|['American']
1047|['American']
1048|['American']
1049|['American']
1050|['American']
1051|['American']
1052|['American']
1053|['American']
1054|['American']
1055|['American']
1056|['American']
1057|['American']
1058|['American']
1059|['American']
1060|['American']
1061|['American']
1062|['American']
1063|['American']
1064|['American']
1065|['American']
1066|['American']
1067|['American']
1068|['American']
1069|['American']
1070|['American']
1071|['American']
1072|['American']
1073|['American']
1074|['American']
1075|['American']
1076|['American']
1077|['American']
1078|['American']
1079|['American']
1080|['American']
1081|['American']
1082|['American']
1083|['American']
1084|['American']
1085|['American']
1086|['American']
1087|['American']
1088|['American']
1089|['American']
1090|['American']
1091|['American']
1092|['American']
1093|['American']
1094|['American']
1095|['American']
1096|['American']
1097|['American']
1098|['American']
1099|['American']
1100|['American']
1101|['American']
1102|['American']
1103|['American']
1104|['American']
1105|['American']
1106|['American']
1107|['American']
1108|['American']
1109|['American']
1110|['American']
1111|['American']
1112|['American']
1113|['American']
1114|['American']
1115|['American']
1116|['American']
1117|['American']
1118|['American']
1119|['American']
1120|['American']
1121|['American']
1122|['American']
1123|['American']
1124|['American']
1125|['American']
1126|['American']
1127|['American']
1128|['American']
1129|['American']
1130|['American']
1131|['American']
1132|['American']
1133|['American']
1134|['American']
1135|['American']
1136|['American']
1137|['American']
1138|['American']
1139|['American']
1140|['American']
1141|['American']
1142|['American']
1143|['American']
1144|['American']
1145|['American']
1146|['American']
1147|['American']
1148|['American']
1149|['American']
1150|['American']
1151|['American']
1152|['American']
1153|['American']
1154|['American']
1155|['American']
1156|['American']
1157|['American']
1158|['American']
1159|['American']
1160|['American']
1161|['American']
1162|['American']
1163|['American']
1164|['American']
1165|['American']
1166|['American']
1167|['American']
1168|['American']
1169|['American']
1170|['American']
1171|['American']
1172|['American']
1173|['American']
1174|['American']
1175|['American']
1176|['American']
1177|['American']
1178|['American']
1179|['American']
1180|['American']
1181|['American']
1182|['American']
1183|['American']
1184|['American']
1185|['American']
1186|['American']
1187|['American']
1188|['American']
1189|['American']
1190|['American']
1191|['American']
1192|['American']
1193|['American']
1194|['American']
1195|['American']
1196|['American']
1197|['American']
1198|['American']
1199|['American']
1200|['American']
1201|['American']
1202|['American']
1203|['American']
1204|['American']
1205|['American']
1206|['American']
1207|['American']
1208|['American']
1209|['American']
1210|['American']
1211|['American']
1212|['American']
1213|['American']
1214|['American']
1215|['American']
1216|['American']
1217|['American']
1218|['American']
1219|['American']
1220|['American']
1221|['American']
1222|['American']
1223|['American']
