id|genre|release year|director|cast
162|['historical']|1917|['J. Gordon Edwards']|['Theda Bara', 'Fritz Leiber', 'Sr.', 'Thurston Hall']
163|['romance']|1917|['Cecil B. DeMille']|['Geraldine Farrar', 'Wallace Reid']
164|['comedy']|1917|['Charles Chaplin']|['Charlie Chaplin', 'Edna Purviance']
165|['sexual', 'hygiene', 'exploitation', 'film']|1917|['Ivan Abramson']|['unknown']
166|['western']|1917|['Reginald Barker']|['Louise Glaum']
167|['drama']|1917|['Robert G. Vignola']|['Jack Pickford', 'Louise Huff']
168|['comedy', 'drama']|1917|['Wray Bartlett Physioc']|['Grace Darmond', 'Niles Welch']
169|['drama']|1917|['Paul Scardon']|['Peggy Hyland', 'Antonio Moreno']
170|['comedy']|1917|['Roscoe Arbuckle']|["'Fatty' Arbuckle", 'Buster Keaton']
171|['comedy']|1917|['Charles Chaplin']|['Charlie Chaplin', 'Edna Purviance']
172|['comedy']|1917|['John Emerson']|['Douglas Fairbanks']
173|['drama']|1917|['Tod Browning']|['Mabel Taliaferro']
174|['war', 'drama']|1917|['Cecil B. DeMille']|['Mary Pickford']
175|['drama']|1917|['Marshall Neilan']|['Mary Pickford', 'Norman Kerry', 'ZaSu Pitts']
176|['drama']|1917|['Ernest C. Warde']|['Florence La Badie', 'Holmes Herbert']
177|['comedy', 'drama']|1917|['Henry King']|['Mary Miles Minter', 'Allan Forrest']
178|['adventure']|1917|['Allan Dwan']|['Douglas Fairbanks', 'Marjorie Daw']
179|['comedy']|1917|['Roscoe Arbuckle']|["'Fatty' Arbuckle", 'Buster Keaton']
180|['drama']|1917|['Tod Browning']|['Mabel Taliaferro', 'Thomas Carrigan']
181|['drama']|1917|['Maurice Tourneur']|['Mary Pickford']
182|['adventure']|1917|['John Emerson']|['Douglas Fairbanks', 'Eileen Percy']
183|['drama']|1917|['Marshall Neilan']|['Mary Pickford']
184|['comedy']|1917|['Roscoe Arbuckle']|["'Fatty' Arbuckle", 'Al St. John']
185|['comedy']|1917|['Roscoe Arbuckle', 'Buster Keaton']|["'Fatty' Arbuckle", 'Buster Keaton']
186|['spy']|1917|['Henry King']|['Gail Kane', 'Douglas MacLean']
187|['western']|1917|['John Ford']|['Harry Carey']
188|['drama']|1917|['Reginald Barker']|['Louise Glaum']
189|['unknown']|1917|['John Emerson']|['Douglas Fairbanks']
190|['romance']|1917|['Cecil B. DeMille']|['Wallace Reid']
191|['comedy']|1918|['Hobart Henley']|['Mae Marsh', 'Jere Austin']
192|['drama']|1918|['Marshall Neilan']|['Mary Pickford']
193|['comedy']|1918|['Gilbert Pratt']|['Harold Lloyd', 'Snub Pollard']
194|['drama']|1918|['Albert Parker']|['Douglas Fairbanks', 'Theodore Roberts']
195|['crime', 'drama']|1918|['Henry King']|['Mary Miles Minter', 'Allan Forrest']
196|['comedy']|1918|['Donald Crisp']|['Wallace Reid', 'Ann Little', 'Noah Beery']
197|['comedy', 'short']|1918|['Roscoe Arbuckle']|['Fatty Arbuckle', 'Buster Keaton']
198|['fantasy']|1918|['Maurice Tourneur']|['Tula Belle']
199|['unknown']|1918|['Allan Dwan']|['Douglas Fairbanks', 'Pauline Curley']
200|['drama']|1918|['Robert Z. Leonard']|['Mae Murray', 'Lew Cody']
201|['drama']|1918|['Julius Steger']|['Marion Davies']
202|['comedy']|1918|['Roscoe Arbuckle']|['Fatty Arbuckle', 'Buster Keaton']
203|['drama']|1918|['John Ford']|['Francis Ford', 'Mae Gaston']
204|['comedy']|1918|['Tod Browning']|['Edith Roberts', 'Hallam Cooley']
205|['comedy', 'drama']|1918|['Lloyd Ingraham']|['Mary Miles Minter', 'Allan Forrest']
206|['mystery']|1918|['Tod Browning']|['Edith Storey', 'Bradley Barker']
207|['drama']|1918|['Robert Z. Leonard']|['Mae Murray', 'Wheeler Oakman']
208|['drama']|1918|['Sidney Franklin']|['Norma Talmadge', 'Thomas Meighan']
209|['comedy', 'drama']|1918|['Clarence G. Badger']|['Madge Kennedy', 'Rockliffe Fellowes']
210|['comedy']|1918|['Fred Niblo']|['Enid Bennett', 'Douglas MacLean']
211|['fantasy']|1918|["Willis O'Brien"]|['Herbert M. Dawley', "Willis O'Brien"]
212|['drama']|1918|['Wallace Worsley']|['Louise Glaum']
213|['war', 'drama']|1918|['D.W. Griffith']|['George Fawcett', 'Lilian Gish']
214|['war', 'drama']|1918|['D.W. Griffith']|['Robert Harron', 'Lillian Gish']
215|['adventure']|1918|['Allan Dwan']|['Douglas Fairbanks', 'Marjorie Daw']
216|['romantic', 'comedy']|1918|['Allan Dwan']|['Douglas Fairbanks', 'Katherine MacDonald']
217|['propaganda']|1918|['Allen Holubar']|['Dorothy Phillips', 'William Stowell']
218|['ww1', 'propaganda']|1918|['D. W. Griffith']|['Lillian Gish', 'Dorothy Gish']
219|['western']|1918|['John Ford']|['Harry Carey', 'Duke R. Lee']
220|['drama']|1918|['Albert Capellani']|['Katherine Harris Barrymore']
221|['comedy', 'drama']|1918|['William Desmond Taylor']|['Jack Pickford', 'Robert Gordon']
222|['drama']|1918|['Tod Browning']|['Edith Storey', 'Philo McCullough']
223|['biopic']|1918|['Arthur Berthelet']|['Mary MacLane', 'Ralph Graves']
224|['comedy']|1918|['F. Richard Jones', 'James Young']|['Mabel Normand']
225|['comedy']|1918|['unknown']|["'Fatty' Arbuckle/Buster Keaton"]
226|['romantic', 'comedy']|1918|['Allan Dwan']|['Douglas Fairbanks', 'Wanda Hawley']
227|['drama']|1918|['B. Reeves Eason']|['Mitchell Lewis']
228|['comedy']|1918|['Gilbert Pratt']|['Harold Lloyd']
229|['drama']|1918|['Cecil B. DeMille']|['Elliott Dexter', 'Florence Vidor']
230|['animated', 'series']|1918|['Max Fleischer Dave Fleischer']|['unknown']
231|['comedy']|1918|['Roscoe Arbuckle']|['Fatty Arbuckle', 'Buster Keaton']
232|['comedy', 'drama']|1918|['Henry King']|['Mary Miles Minter', 'Allan Forrest']
233|['western']|1918|['Tod Browning']|['Edith Storey', 'Wheeler Oakman']
234|['adventure']|1918|['Wilfred Lucas']|['Elmo Lincoln', 'Enid Markey']
235|['drama']|1918|['J. Gordon Edwards']|['Theda Bara', 'G. Raymond Nye']
236|['western']|1918|['John Ford']|['Harry Carey', 'Molly Malone']
237|['drama']|1918|['Tod Browning']|['Edith Roberts', 'Harold Goodwin']
